PC1,Prize,Memory,RAM,Battery_,Is_Outlier,Model_Group_Encoded
-20651671.173640173,6799.0,64.0,2.0,5000.0,0.0,5.0
-20651527.173640173,15999.0,128.0,4.0,5000.0,0.0,12.0
-20651389.173640173,44999.0,128.0,8.0,3300.0,0.0,12.0
-20651467.173640173,16999.0,128.0,6.0,5000.0,0.0,10.0
-20651597.173640173,13999.0,64.0,4.0,5000.0,0.0,5.0
-20651577.173640173,13999.0,128.0,6.0,5000.0,0.0,10.0
-20651665.173640173,8999.0,32.0,3.0,5000.0,0.0,16.0
-20651665.173640173,8999.0,32.0,3.0,5000.0,0.0,16.0
-20651665.173640173,8995.0,64.0,4.0,5000.0,0.0,16.0
-20652178.173640173,15999.0,128.0,8.0,4500.0,0.0,3.0
-20652178.173640173,15999.0,128.0,8.0,4500.0,0.0,3.0
-20652182.173640173,13499.0,128.0,4.0,5000.0,0.0,16.0
-20651665.173640173,9999.0,64.0,4.0,5000.0,0.0,16.0
-20651665.173640173,9999.0,64.0,4.0,5000.0,0.0,16.0
-20651665.173640173,9999.0,64.0,4.0,5000.0,0.0,16.0
-20652182.173640173,15499.0,128.0,8.0,5000.0,0.0,16.0
-20651597.173640173,16999.0,128.0,8.0,5000.0,0.0,17.0
-20651597.173640173,16999.0,128.0,8.0,5000.0,0.0,17.0
-20651499.173640173,24999.0,128.0,8.0,4020.0,0.0,5.0
-20652178.173640173,16999.0,128.0,6.0,5000.0,0.0,5.0
-20651597.173640173,11249.0,64.0,4.0,5000.0,0.0,5.0
-20651389.173640173,34999.0,128.0,8.0,4400.0,0.0,5.0
-20644177.173640173,21174.0,128.0,6.0,5080.0,0.0,11.0
0.0,,,,,,
-20652275.173640173,43999.0,128.0,8.0,4300.0,0.0,1.0
-20652275.173640173,43999.0,128.0,8.0,4300.0,0.0,1.0
-20652240.173640173,7993.0,64.0,4.0,5000.0,0.0,13.0
-20652240.173640173,8069.0,64.0,4.0,5000.0,0.0,13.0
-20651499.173640173,24999.0,128.0,8.0,4020.0,0.0,5.0
-20651582.173640173,29999.0,128.0,8.0,4800.0,0.0,7.0
564699052.82636,16499.0,64.0,4.0,5000.0,0.0,12.0
-20652192.17364017,9499.0,64.0,4.0,5000.0,0.0,5.0
-20651197.173640173,25999.0,128.0,8.0,5000.0,0.0,11.0
-20651553.173640173,29999.0,256.0,8.0,5000.0,0.0,10.0
564699052.82636,18999.0,128.0,6.0,5000.0,0.0,12.0
-20651582.173640173,29999.0,128.0,8.0,4800.0,0.0,7.0
564699052.82636,18999.0,128.0,6.0,5000.0,0.0,12.0
0.0,,,,,,
-20651527.173640173,15999.0,128.0,4.0,5000.0,0.0,12.0
-20652242.173640173,8999.0,64.0,4.0,5000.0,0.0,10.0
-20651597.173640173,9499.0,64.0,4.0,6000.0,0.0,11.0
-20651547.173640173,17999.0,64.0,6.0,4500.0,0.0,10.0
-20651553.173640173,32999.0,256.0,6.0,5000.0,0.0,10.0
-20652275.173640173,43999.0,128.0,8.0,4300.0,0.0,1.0
-20651499.173640173,30499.0,128.0,8.0,4500.0,0.0,15.0
-20651499.173640173,30999.0,128.0,8.0,4500.0,0.0,1.0
-20652277.173640173,7999.0,64.0,4.0,5000.0,0.0,2.0
-20651597.173640173,10999.0,64.0,4.0,5000.0,0.0,5.0
-20652242.173640173,9290.0,64.0,4.0,5000.0,0.0,13.0
-20651467.173640173,14999.0,64.0,4.0,5000.0,0.0,10.0
-20652242.173640173,8449.0,64.0,4.0,5000.0,0.0,13.0
-20651197.173640173,17999.0,256.0,8.0,5000.0,0.0,3.0
-20652242.173640173,8495.0,64.0,4.0,5000.0,0.0,13.0
-20651197.173640173,17999.0,256.0,8.0,5000.0,0.0,3.0
-20652277.173640173,7999.0,64.0,4.0,5000.0,0.0,2.0
-20652242.173640173,11999.0,64.0,4.0,5000.0,0.0,17.0
-20652242.173640173,10499.0,64.0,3.0,5000.0,0.0,17.0
-20652242.173640173,12999.0,128.0,4.0,5000.0,0.0,17.0
-20651499.173640173,29499.0,128.0,8.0,4500.0,0.0,15.0
-20644177.173640173,20998.0,128.0,6.0,5080.0,0.0,11.0
-20652242.173640173,9290.0,64.0,4.0,5000.0,0.0,13.0
-20644177.173640173,23999.0,256.0,8.0,5080.0,0.0,11.0
-20652277.173640173,19280.0,128.0,8.0,5000.0,0.0,7.0
-20652242.173640173,8649.0,64.0,4.0,5000.0,0.0,13.0
-20651197.173640173,17999.0,256.0,8.0,5000.0,0.0,3.0
-20652242.173640173,10999.0,64.0,3.0,5000.0,0.0,17.0
-20645322.173640173,19499.0,128.0,8.0,5000.0,0.0,10.0
-20642414.173640173,9349.0,64.0,4.0,5000.0,0.0,16.0
-20645322.173640173,19499.0,128.0,8.0,5000.0,0.0,10.0
-20652275.173640173,8288.0,64.0,4.0,5000.0,0.0,13.0
-20652189.173640173,12272.0,64.0,4.0,6000.0,0.0,11.0
-20652275.173640173,6794.0,32.0,3.0,5000.0,0.0,13.0
-13695902.173640173,21999.0,128.0,6.0,5000.0,0.0,12.0
564699052.82636,18999.0,128.0,6.0,5000.0,0.0,12.0
-20651197.173640173,32999.0,256.0,4.0,4980.0,0.0,11.0
-20651661.173640173,9699.0,64.0,4.0,5000.0,0.0,16.0
-20651661.173640173,10699.0,128.0,4.0,5000.0,0.0,16.0
-20652240.173640173,10999.0,64.0,4.0,5000.0,0.0,5.0
-20652277.173640173,5999.0,32.0,2.0,5000.0,0.0,14.0
-20652242.173640173,11999.0,64.0,4.0,5000.0,0.0,17.0
-20651357.173640173,27540.0,256.0,4.0,4200.0,0.0,17.0
-20652277.173640173,27877.0,128.0,8.0,4500.0,0.0,8.0
-13695902.17364017,21999.0,128.0,6.0,5000.0,0.0,12.0
-20652277.173640173,5990.0,32.0,2.0,5000.0,0.0,14.0
-20652277.173640173,5999.0,32.0,2.0,5000.0,0.0,14.0
-20644177.173640173,21499.0,128.0,6.0,5080.0,0.0,11.0
-20651467.173640173,15999.0,128.0,8.0,5000.0,0.0,10.0
-20651597.173640173,11980.0,64.0,4.0,5000.0,0.0,5.0
-20652255.173640173,6999.0,64.0,2.0,5000.0,0.0,3.0
-20652255.173640173,6999.0,64.0,2.0,5000.0,0.0,3.0
-20652255.173640173,6999.0,64.0,2.0,5000.0,0.0,3.0
-20652255.173640173,6999.0,64.0,2.0,5000.0,0.0,3.0
-20641472.173640173,23999.0,128.0,8.0,5000.0,0.0,16.0
-13846052.17364017,11999.0,64.0,4.0,5000.0,0.0,16.0
-13846052.173640171,13499.0,128.0,4.0,5000.0,0.0,16.0
564699052.82636,16499.0,64.0,4.0,5000.0,0.0,12.0
-20651197.173640173,32999.0,256.0,8.0,5000.0,0.0,12.0
-20652189.173640173,11349.0,64.0,4.0,5000.0,0.0,16.0
-20651197.173640173,30999.0,128.0,8.0,5000.0,0.0,12.0
-20652242.173640173,9499.0,64.0,3.0,5000.0,0.0,7.0
-20652242.173640173,9790.0,64.0,3.0,5000.0,0.0,7.0
-20652242.173640173,9499.0,64.0,3.0,5000.0,0.0,7.0
-20652277.173640173,28298.0,128.0,8.0,4500.0,0.0,8.0
-20641472.173640173,23999.0,128.0,8.0,5000.0,0.0,16.0
-20641472.173640173,23999.0,128.0,8.0,5000.0,0.0,16.0
-20641472.173640173,22999.0,128.0,6.0,5000.0,0.0,16.0
-20641472.173640173,22999.0,128.0,6.0,5000.0,0.0,16.0
-20641472.173640173,22999.0,128.0,6.0,5000.0,0.0,16.0
-20652181.173640173,13999.0,128.0,8.0,5000.0,0.0,10.0
-20652255.173640173,7049.0,32.0,3.0,6000.0,0.0,13.0
-20652255.173640173,6960.0,32.0,3.0,6000.0,0.0,13.0
-20652242.173640173,9104.0,128.0,4.0,5000.0,0.0,12.0
-20580272.173640173,36999.0,256.0,4.0,4600.0,0.0,17.0
-20652242.173640173,9499.0,128.0,6.0,5000.0,0.0,11.0
-20651597.173640173,16499.0,128.0,8.0,5000.0,0.0,7.0
965746353.8263601,6999.0,32.0,2.0,5000.0,0.0,16.0
0.0,,,,,,
-13695902.17364017,21999.0,128.0,6.0,5000.0,0.0,12.0
564699052.82636,20999.0,128.0,8.0,5000.0,0.0,12.0
-20651197.173640173,30999.0,128.0,8.0,5000.0,0.0,12.0
-20652196.173640173,30385.0,128.0,8.0,5000.0,0.0,9.0
-20651577.173640173,19999.0,128.0,8.0,5000.0,0.0,17.0
0.0,,,,,,
-20651667.173640173,8999.0,64.0,4.0,6000.0,0.0,3.0
-20651553.173640173,32999.0,256.0,4.0,5000.0,0.0,10.0
-20652181.173640173,19990.0,128.0,8.0,4050.0,0.0,17.0
965746353.8263601,6999.0,32.0,2.0,5000.0,0.0,16.0
-20645322.17364017,19499.0,128.0,8.0,5000.0,0.0,10.0
-20651665.173640173,12900.0,128.0,4.0,5000.0,0.0,16.0
564699052.82636,16499.0,64.0,4.0,5000.0,0.0,12.0
-20652240.173640173,8990.0,64.0,3.0,5000.0,0.0,13.0
-20651665.173640173,10943.0,64.0,4.0,5000.0,0.0,16.0
0.0,,,,,,
0.0,,,,,,
-20651432.173640173,13489.0,64.0,6.0,4000.0,0.0,10.0
-20651389.173640173,34999.0,128.0,8.0,4400.0,0.0,5.0
-20651553.173640173,32999.0,256.0,8.0,5000.0,0.0,10.0
-20651838.173640173,11209.0,64.0,3.0,5000.0,0.0,17.0
-20651197.173640173,26999.0,256.0,8.0,5000.0,0.0,11.0
965746353.8263601,8499.0,64.0,4.0,5000.0,0.0,16.0
965746353.8263601,8499.0,64.0,4.0,5000.0,0.0,16.0
564699052.82636,20999.0,128.0,8.0,5000.0,0.0,12.0
0.0,,,,,,
-20652277.173640173,17499.0,128.0,6.0,5000.0,0.0,12.0
-20651577.173640173,19999.0,128.0,8.0,5000.0,0.0,17.0
-20651577.173640173,17999.0,128.0,4.0,5000.0,0.0,17.0
-20652192.173640173,11499.0,64.0,4.0,6000.0,0.0,16.0
-20652181.173640173,16988.0,128.0,8.0,4050.0,0.0,17.0
-20652242.173640173,12989.0,128.0,4.0,5000.0,0.0,17.0
-20651597.173640173,13999.0,128.0,6.0,5000.0,0.0,5.0
